name,credit_card,amount
Anthony,3542540566346387,81600
Cayla,5528761558347554,23200
Bren,3571849965202651,38000
Augustine,4775418408474285,20600
Marylin,3568269107991902,74600
Larisa,3560013033369850,49900
Tessa,5438294657566816,43400
Ailey,3562663478715252,93000
Matthaeus,6762418718694275,39600
Toddy,3534364225607612,43200
Germayne,3551394453850319,25800
Aubree,6304553780789937,87100
Rockey,4508547033428755,62500
Jeannine,3575055729837099,40900
Dena,5602232941684177,8300
Farlee,5493557679294829,81900
Dionis,3532746369629067,93500
Kizzee,3547465494005696,56600
Caritta,3583879525126583,27500
Silas,6398583406848780,65100
Cecilla,4844472366327651,42400
Kellsie,3571227142664319,59700
Jilli,5100179103609384,13700
Vittorio,3579195002577933,16500
Laure,5100175111522783,78100
Godwin,3550667187740471,24000
Weston,3541987234298618,1900
Audie,5108751793780840,19300
Edy,5398613502758708,35500
Magdaia,3557882483693786,45500
Asher,5419443466817935,66500
Matthus,4917924424433618,42500
Emmery,3549578357102075,97700
Beverlee,3583218541140015,83600
Moselle,5007661394607536,67200
Michal,3562322233095324,64900
Ringo,3550482779032588,85500
Gerti,3586125966519549,8100
Ryley,6304437806042143,64300
Shell,5100171990112127,26100
Rafa,4405310570330494,13300
Jamey,3557502257544532,10900
Joshia,5610614810173392,65300
Bonni,5295084848724933,26800
Alleen,6763639718994527,77000
Lothaire,3561565783755140,61400
Christean,6396835309182390,53500
Ariel,3539592317378230,4500
Ellie,5565098283898955,88600
Eyde,3549084054037292,91900
Noni,5428837626596793,22900
Elayne,3579729237804314,14500
Pauly,3563184348886867,69500
Malachi,5602222053271988,87400
Shaun,6333237354163027,97000
Queenie,3529972759511617,52500
Rhianon,3534823414866388,63500
Jermayne,3565663605244231,50100
Deena,4175000155820732,30800
Julietta,5108750923957351,21700
Kathi,3561949119526104,59400
Blake,3580142010935023,70400
Ofelia,6391209984523762,81000
Elbertina,3586352628455645,84500
Sadye,3558308035920666,35300
Normy,3560837079818945,13600
Johannah,3537147252471987,81800
Sid,4917138416556209,66400
Agata,6333823241641133,31800
Derrick,3555749540066201,50200
Lucien,4913930524811581,34400
Yvon,4844232461773146,52200
Emelia,3575048630708210,72600
Frederik,6371916067058565,72000
Lauritz,3541417504222965,11500
Nanon,6385818758037607,50000
Barron,3561221851034030,30500
Aurilia,3588454930315059,39300
Lazare,5352682178143192,97900
Ellynn,5100141331892901,43300
Guinna,3582385005410258,73800
Kelwin,3569066475017222,65400
Parsifal,3546402759440103,7300
Walsh,4041598312610278,8500
Hinda,3581068500777212,29400
Hertha,6771356328072061,62300
Cozmo,4017955005048598,11400
Sula,3568062272660927,99800
Henryetta,3558285008317445,56000
Myca,3576991082905652,63600
Josephina,3569318634328564,8700
Cris,6388177882154334,19300
Sallie,3583608226279759,8000
Hillary,3539039869593584,65000
Lorant,5048377011388167,23700
Adi,3571544966337495,55200
Justina,3555088493808719,80000
Romola,3565209952316378,21300
Rosalinde,3558233864085839,40200
Mark,3575467647255363,36900
